,date,purchases,unique_invoices,unique_streams,total_views,year_month,revenue,previous_7,previous_14,previous_28,previous_70,previous_year,recent_invoices,recent_views,next_months_revenue,country
36,2017-12-07,2403.0,116.0,1192.0,11572.0,2017-12,10651.380000000001,61566.01000000001,88070.1,88070.1,88070.1,0.0,33.86666666666667,3261.4333333333334,109805.04000000001,United Kingdom
37,2017-12-08,1535.0,117.0,875.0,7902.0,2017-12,4864.07,59275.890000000014,98721.48000000001,98721.48000000001,98721.48000000001,0.0,37.733333333333334,3647.1666666666665,99153.66000000002,United Kingdom
38,2017-12-09,0.0,0.0,0.0,0.0,2017-12,0.0,54976.89000000001,103585.55000000002,103585.55000000002,103585.55000000002,0.0,41.63333333333333,3910.5666666666666,96259.15000000001,United Kingdom
39,2017-12-10,1678.0,71.0,935.0,7685.0,2017-12,4568.200000000001,53713.61000000001,103585.55000000002,103585.55000000002,103585.55000000002,0.0,41.63333333333333,3910.5666666666666,109040.96,United Kingdom
40,2017-12-11,3851.0,113.0,1568.0,14845.0,2017-12,19097.67,52052.70000000001,108153.75000000001,108153.75000000001,108153.75,0.0,44.0,4166.733333333334,108007.89000000001,United Kingdom
41,2017-12-12,1896.0,119.0,1000.0,10331.0,2017-12,9518.670000000002,58960.58,127251.42000000001,127251.42000000001,127251.42,0.0,47.766666666666666,4661.566666666667,96580.48000000001,United Kingdom
42,2017-12-13,3137.0,101.0,1409.0,13689.0,2017-12,15610.170000000002,59586.979999999996,123488.97000000002,136770.09,136770.09,0.0,51.733333333333334,5005.933333333333,99036.25,United Kingdom
43,2017-12-14,1944.0,157.0,1062.0,9346.0,2017-12,6003.74,64310.16,125876.17000000001,152380.26,152380.26,0.0,55.1,5462.233333333334,85125.35,United Kingdom
44,2017-12-15,1732.0,71.0,1011.0,6557.0,2017-12,9560.02,59662.52,118938.41,158384.0,158384.0,0.0,60.333333333333336,5773.766666666666,79121.61,United Kingdom
45,2017-12-16,0.0,0.0,0.0,0.0,2017-12,0.0,64358.47,119335.36,167944.02,167944.02,0.0,62.7,5992.333333333333,72999.90000000001,United Kingdom
46,2017-12-17,573.0,37.0,418.0,3381.0,2017-12,1811.51,64358.47,118072.08000000002,167944.02000000002,167944.02,0.0,62.7,5992.333333333333,81679.73000000001,United Kingdom
47,2017-12-18,576.0,49.0,427.0,2473.0,2017-12,2650.71,61601.780000000006,113654.48000000001,169755.53,169755.53,0.0,63.93333333333333,6105.033333333334,86905.201,United Kingdom
48,2017-12-19,2032.0,202.0,1136.0,5056.0,2017-12,13254.54,45154.82000000001,104115.40000000001,172406.24,172406.24000000002,0.0,65.56666666666666,6187.466666666666,88984.031,United Kingdom
49,2017-12-20,328.0,29.0,286.0,1089.0,2017-12,1580.29,48890.69,108477.67000000001,185660.78000000003,185660.78000000003,0.0,72.3,6356.0,79131.55099999999,United Kingdom
50,2017-12-21,0.0,0.0,0.0,0.0,2017-12,0.0,34860.810000000005,99170.96999999999,187241.07000000004,187241.07000000004,0.0,73.26666666666667,6392.3,82758.601,United Kingdom
51,2017-12-22,0.0,0.0,0.0,0.0,2017-12,0.0,28857.070000000003,88519.59000000001,187241.07000000004,187241.07000000004,0.0,73.26666666666667,6392.3,82758.601,United Kingdom
52,2017-12-23,0.0,0.0,0.0,0.0,2017-12,0.0,19297.050000000003,83655.52,187241.07000000004,187241.07000000004,0.0,73.26666666666667,6392.3,86676.761,United Kingdom
53,2017-12-24,0.0,0.0,0.0,0.0,2017-12,0.0,19297.050000000003,83655.52,187241.07000000004,187241.07000000004,0.0,73.26666666666667,6392.3,93429.47099999999,United Kingdom
54,2017-12-25,0.0,0.0,0.0,0.0,2017-12,0.0,17485.54,79087.31999999999,187241.07,187241.07000000004,0.0,73.26666666666667,6392.3,105760.981,United Kingdom
55,2017-12-26,0.0,0.0,0.0,0.0,2017-12,0.0,14834.830000000002,59989.65,187241.07,187241.07000000004,0.0,73.26666666666667,6392.3,111842.741,United Kingdom
56,2017-12-27,0.0,0.0,0.0,0.0,2017-12,0.0,1580.29,50470.98000000001,173959.95,187241.07,0.0,73.26666666666667,6392.3,115423.66100000001,United Kingdom
57,2017-12-28,0.0,0.0,0.0,0.0,2017-12,0.0,0.0,34860.81,160736.98,187241.07,0.0,73.26666666666667,6392.3,139361.252,United Kingdom
58,2017-12-29,0.0,0.0,0.0,0.0,2017-12,0.0,0.0,28857.070000000003,147795.48000000004,187241.07,0.0,68.13333333333334,5961.566666666667,139361.252,United Kingdom
59,2017-12-30,0.0,0.0,0.0,0.0,2017-12,0.0,0.0,19297.05,138632.41000000003,187241.07,0.0,63.96666666666667,5506.566666666667,142823.872,United Kingdom
60,2017-12-31,0.0,0.0,0.0,0.0,2017-12,0.0,0.0,19297.050000000003,137369.13,187241.07,0.0,59.166666666666664,4998.466666666666,148110.823,United Kingdom
61,2018-01-01,663.0,68.0,520.0,2993.0,2018-01,1936.2600000000002,0.0,17485.54,131140.02000000002,187241.07,0.0,55.833333333333336,4610.066666666667,151068.723,United Kingdom
62,2018-01-02,938.0,46.0,634.0,5603.0,2018-01,3061.2700000000004,1936.2600000000002,16771.090000000004,120886.49,189177.33000000002,0.0,57.06666666666667,4606.466666666666,154805.25400000002,United Kingdom
63,2018-01-03,294.0,14.0,250.0,1994.0,2018-01,965.8499999999999,4997.530000000001,6577.820000000001,115055.49,192238.6,0.0,55.7,4523.366666666667,156389.704,United Kingdom
64,2018-01-04,846.0,78.0,586.0,6108.0,2018-01,2777.0200000000004,5963.380000000001,5963.380000000001,105134.35,193204.45,0.0,52.5,4216.433333333333,159597.18399999998,United Kingdom
65,2018-01-05,533.0,41.0,380.0,3793.0,2018-01,1893.67,8740.400000000001,8740.400000000001,97259.99000000002,195981.47,0.0,49.86666666666667,4023.1666666666665,156820.164,United Kingdom
66,2018-01-06,0.0,0.0,0.0,0.0,2018-01,0.0,10634.070000000002,10634.070000000002,94289.59000000001,197875.14,0.0,47.63333333333333,3813.9,156986.47400000002,United Kingdom
67,2018-01-07,676.0,36.0,475.0,4464.0,2018-01,1969.56,10634.070000000002,10634.070000000002,94289.59000000001,197875.14,0.0,43.766666666666666,3428.1666666666665,161628.794,United Kingdom
68,2018-01-08,2605.0,63.0,1057.0,7931.0,2018-01,12781.81,12603.630000000001,12603.630000000001,91690.95000000001,199844.7,0.0,41.06666666666667,3313.5666666666666,162475.02400000003,United Kingdom
69,2018-01-09,1017.0,60.0,730.0,4806.0,2018-01,3535.13,23449.18,25385.440000000002,85375.09000000001,212626.51,0.0,43.166666666666664,3577.9333333333334,153676.374,United Kingdom
70,2018-01-10,1552.0,51.0,892.0,5034.0,2018-01,7670.26,23923.04,28920.570000000003,79391.55,216161.64,0.0,42.8,3481.9666666666667,152622.05400000003,United Kingdom
71,2018-01-11,2141.0,83.0,1022.0,8905.0,2018-01,11974.440000000002,30627.449999999997,36590.83,71451.64,223831.90000000002,0.0,40.733333333333334,3154.9333333333334,147744.604,United Kingdom
72,2018-01-12,554.0,45.0,375.0,3715.0,2018-01,1699.27,39824.87,48565.270000000004,77422.34,235806.34000000003,0.0,39.53333333333333,3107.4,135770.16400000002,United Kingdom
73,2018-01-13,0.0,0.0,0.0,0.0,2018-01,0.0,39630.47,50264.54,69561.59000000001,237505.61000000002,0.0,37.666666666666664,2774.9333333333334,137508.444,United Kingdom
74,2018-01-14,1116.0,41.0,684.0,5700.0,2018-01,3438.3100000000004,39630.47,50264.54,69561.59000000001,237505.61000000002,0.0,32.43333333333333,2463.4,139592.88499999998,United Kingdom
75,2018-01-15,1879.0,48.0,993.0,5934.0,2018-01,8679.83,41099.219999999994,53702.85,71188.39,240943.92,0.0,31.433333333333334,2434.8333333333335,143986.175,United Kingdom
76,2018-01-16,1639.0,44.0,990.0,7538.0,2018-01,7036.981,36997.240000000005,60446.42,77217.51000000001,249623.75,0.0,33.03333333333333,2632.633333333333,138278.23500000002,United Kingdom
77,2018-01-17,1207.0,74.0,809.0,5001.0,2018-01,4729.54,40499.09100000001,64422.131,70999.951,256660.731,0.0,33.266666666666666,2771.2,135146.284,United Kingdom
78,2018-01-18,1095.0,85.0,712.0,5824.0,2018-01,3402.0600000000004,37558.37100000001,68185.821,74149.201,261390.271,0.0,34.1,2855.4666666666667,138355.19400000002,United Kingdom
79,2018-01-19,1186.0,66.0,766.0,5568.0,2018-01,5207.34,28985.991,68810.861,77551.261,264792.331,0.0,30.2,2881.0666666666666,134953.13400000002,United Kingdom
80,2018-01-20,0.0,0.0,0.0,0.0,2018-01,0.0,32494.061,72124.531,82758.601,269999.67100000003,0.0,31.433333333333334,3030.366666666667,132917.195,United Kingdom
81,2018-01-21,1231.0,51.0,685.0,5560.0,2018-01,3918.16,32494.061,72124.531,82758.60099999998,269999.6710000001,0.0,31.433333333333334,3030.366666666667,136409.185,United Kingdom
82,2018-01-22,1650.0,69.0,905.0,7339.0,2018-01,6752.710000000001,32973.911,74073.13100000001,86676.761,273917.83100000006,0.0,33.13333333333333,3215.7,136334.965,United Kingdom
83,2018-01-23,1345.0,124.0,783.0,5821.0,2018-01,12331.509999999998,31046.791000000005,68044.03100000002,93429.471,280670.5410000001,0.0,35.43333333333333,3460.3333333333335,134257.196,United Kingdom
84,2018-01-24,1443.0,82.0,835.0,6878.0,2018-01,6081.76,36341.31999999999,76840.41100000001,105760.98100000001,293002.05100000004,0.0,39.56666666666667,3654.366666666667,127014.05600000001,United Kingdom
85,2018-01-25,1182.0,78.0,724.0,7277.0,2018-01,3580.92,37693.54,75251.91100000001,111842.741,299083.81100000005,0.0,42.3,3883.633333333333,128406.887,United Kingdom
86,2018-01-26,1207.0,81.0,717.0,6180.0,2018-01,23937.591000000004,37872.4,66858.39100000002,115423.661,302664.731,0.0,44.9,4126.2,124825.96700000002,United Kingdom
87,2018-01-27,0.0,0.0,0.0,0.0,2018-01,0.0,56602.651,89096.71200000001,139361.252,326602.32200000004,0.0,47.6,4332.2,104688.466,United Kingdom
88,2018-01-28,1244.0,53.0,723.0,6146.0,2018-01,3462.62,56602.651,89096.71200000001,139361.252,326602.32200000004,0.0,47.6,4332.2,108980.666,United Kingdom
89,2018-01-29,1258.0,71.0,795.0,5185.0,2018-01,5286.951,56147.11100000001,89121.022,142823.872,330064.94200000004,0.0,49.36666666666667,4537.066666666667,111775.68599999999,United Kingdom
90,2018-01-30,1040.0,53.0,670.0,5982.0,2018-01,2957.9,54681.352000000006,85728.14300000001,146174.56300000002,335351.89300000004,0.0,51.733333333333334,4709.9,112016.955,United Kingdom
91,2018-01-31,1442.0,143.0,899.0,6276.0,2018-01,5672.791,45307.74200000001,81649.06199999999,146071.193,338309.793,0.0,53.5,4909.3,116077.06499999999,United Kingdom
92,2018-02-01,1551.0,139.0,878.0,7915.0,2018-02,4645.72,44898.773,82592.313,150778.134,343982.5840000001,0.0,56.0,5018.733333333334,114978.47399999999,United Kingdom
93,2018-02-02,1030.0,145.0,686.0,5383.0,2018-02,4173.33,45963.573000000004,83835.973,152646.834,348628.30400000006,0.0,59.1,5095.8,110332.75399999999,United Kingdom
94,2018-02-03,0.0,0.0,0.0,0.0,2018-02,0.0,26199.311999999998,82801.96300000002,154926.494,352801.6340000001,0.0,63.46666666666667,5208.766666666666,112044.01399999998,United Kingdom
95,2018-02-04,742.0,31.0,517.0,2761.0,2018-02,2059.98,26199.311999999998,82801.963,154926.49399999998,352801.6340000001,0.0,60.86666666666667,5005.166666666667,121387.66399999999,United Kingdom
96,2018-02-05,1204.0,64.0,738.0,5245.0,2018-02,4642.32,24796.672000000002,80943.78300000001,155016.91400000002,354861.61400000006,0.0,60.53333333333333,4970.766666666666,125507.61399999997,United Kingdom
97,2018-02-06,784.0,47.0,543.0,4454.0,2018-02,2815.79,24152.041,78833.39300000001,146877.424,359503.934,0.0,62.666666666666664,5145.6,126851.894,United Kingdom
98,2018-02-07,861.0,35.0,617.0,2764.0,2018-02,3983.1600000000003,24009.931,69317.67300000001,146158.08400000003,349038.604,0.0,63.03333333333333,5145.266666666666,129387.41399999999,United Kingdom
99,2018-02-08,766.0,92.0,504.0,3959.0,2018-02,2480.8100000000004,22320.3,67219.073,142470.984,339798.794,0.0,62.1,4973.033333333334,128734.73399999998,United Kingdom
100,2018-02-09,757.0,70.0,583.0,3570.0,2018-02,2792.81,20155.39,66118.96300000002,132977.35400000002,329338.10399999993,0.0,63.166666666666664,4944.8,126253.92399999998,United Kingdom
101,2018-02-10,0.0,0.0,0.0,0.0,2018-02,0.0,18774.870000000003,44974.182,134070.894,322967.8439999999,0.0,63.8,4896.0,125224.88400000002,United Kingdom
102,2018-02-11,1157.0,49.0,698.0,6119.0,2018-02,3437.55,18774.870000000003,44974.182,134070.894,321704.56399999995,0.0,61.03333333333333,4599.166666666667,132306.685,United Kingdom
103,2018-02-12,710.0,46.0,459.0,5475.0,2018-02,2084.441,20152.440000000002,44949.112,134070.134,318913.00399999996,0.0,61.166666666666664,4679.3,133874.635,United Kingdom
104,2018-02-13,1879.0,105.0,1073.0,8774.0,2018-02,7831.599999999999,17594.561,41746.602,127474.74500000001,308807.65499999997,0.0,62.7,4861.8,135831.86400000003,United Kingdom
105,2018-02-14,945.0,58.0,618.0,5964.0,2018-02,2971.89,22610.371,46620.302,128269.36400000002,307746.9849999999,0.0,64.83333333333333,4964.266666666666,133826.80400000003,United Kingdom
106,2018-02-15,1319.0,84.0,765.0,7601.0,2018-02,3905.0300000000007,21599.101,43919.401,126511.71400000002,299831.885,0.0,65.16666666666667,4965.266666666666,144692.404,United Kingdom
107,2018-02-16,1634.0,64.0,923.0,5494.0,2018-02,7938.449999999999,23023.320999999996,43178.710999999996,127014.68400000001,293085.53500000003,0.0,66.5,4967.366666666667,140787.37399999998,United Kingdom
108,2018-02-17,0.0,0.0,0.0,0.0,2018-02,0.0,28168.960999999996,46943.831,129745.79400000001,296159.91500000004,0.0,66.16666666666667,4983.8,136750.394,United Kingdom
109,2018-02-18,931.0,58.0,598.0,3924.0,2018-02,3171.4010000000003,28168.960999999996,46943.831,129745.794,296159.91500000004,0.0,63.333333333333336,4789.666666666667,143043.794,United Kingdom
110,2018-02-19,1070.0,79.0,668.0,7473.0,2018-02,3491.9900000000007,27902.812,48055.25199999999,128999.035,294763.11600000004,0.0,63.06666666666667,4734.866666666667,192152.433,United Kingdom
111,2018-02-20,1092.0,75.0,721.0,5877.0,2018-02,3843.9399999999996,29310.361000000004,46904.92199999999,125738.315,279157.4360000001,0.0,65.7,4983.966666666666,195467.92300000004,United Kingdom
112,2018-02-21,1201.0,113.0,775.0,5321.0,2018-02,4674.941000000001,25322.701,47933.07199999999,117250.74500000001,273482.706,0.0,66.5,4994.533333333334,209932.913,United Kingdom
113,2018-02-22,1531.0,88.0,861.0,9235.0,2018-02,5088.37,27025.752,48624.852999999996,115843.926,262547.477,0.0,67.96666666666667,4927.266666666666,209492.182,United Kingdom
114,2018-02-23,999.0,61.0,695.0,4627.0,2018-02,7474.591,28209.092,51232.413,117351.37600000002,261632.10700000002,0.0,66.76666666666667,5041.066666666667,204403.812,United Kingdom
115,2018-02-24,0.0,0.0,0.0,0.0,2018-02,0.0,27745.233000000004,55914.194,100888.376,259546.678,0.0,66.06666666666666,4966.033333333334,201690.45100000003,United Kingdom
116,2018-02-25,1251.0,55.0,726.0,5318.0,2018-02,3800.09,27745.233000000004,55914.194,100888.376,259546.678,0.0,63.46666666666667,4723.466666666666,210273.08100000003,United Kingdom
117,2018-02-26,1162.0,93.0,775.0,6374.0,2018-02,4292.2,28373.922000000002,56276.734,101225.84599999999,261535.25800000006,0.0,62.6,4694.733333333334,213562.391,United Kingdom
118,2018-02-27,1480.0,129.0,927.0,6471.0,2018-02,6257.639999999999,29174.132,58484.493,100231.095,263176.74799999996,0.0,65.7,4907.2,217102.931,United Kingdom
119,2018-02-28,1597.0,71.0,962.0,8869.0,2018-02,5528.219999999999,31587.832000000002,56910.532999999996,103530.83499999999,256179.848,0.0,68.23333333333333,4918.033333333334,217019.20100000003,United Kingdom
120,2018-03-01,1801.0,95.0,971.0,10659.0,2018-03,7018.01,32441.110999999997,59466.863,103386.264,260127.77800000002,0.0,68.23333333333333,5040.833333333333,211490.981,United Kingdom
121,2018-03-02,1133.0,77.0,705.0,5336.0,2018-03,4574.200000000001,34370.751000000004,62579.843,105758.55399999999,267145.788,0.0,69.63333333333334,5196.733333333334,204472.97100000002,United Kingdom
122,2018-03-03,0.0,0.0,0.0,0.0,2018-03,0.0,31470.360000000004,59215.59300000001,106159.42399999998,271719.988,0.0,67.43333333333334,5165.4,199898.77099999998,United Kingdom
123,2018-03-04,1675.0,65.0,1028.0,7347.0,2018-03,5884.59,31470.360000000004,59215.59300000001,106159.424,271719.988,0.0,62.8,4901.566666666667,199898.771,United Kingdom
124,2018-03-05,1866.0,100.0,1036.0,8016.0,2018-03,9343.65,33554.86,61928.78200000001,109984.03399999999,277604.57800000004,0.0,60.13333333333333,4967.033333333334,197830.06100000002,United Kingdom
125,2018-03-06,1153.0,97.0,749.0,6259.0,2018-03,6179.93,38606.31,67780.442,114685.36399999999,286948.22800000006,0.0,63.46666666666667,5234.233333333334,193162.11100000003,United Kingdom
126,2018-03-07,1525.0,77.0,909.0,7997.0,2018-03,5986.6,38528.6,70116.432,118049.50399999999,293128.1580000001,0.0,65.66666666666667,5350.833333333333,194137.75100000002,United Kingdom
127,2018-03-08,1295.0,75.0,855.0,6396.0,2018-03,5351.31,38986.98,71428.091,120052.94399999999,299114.7580000001,0.0,66.1,5442.566666666667,191275.581,United Kingdom
128,2018-03-09,821.0,46.0,612.0,4337.0,2018-03,3330.4799999999996,37320.28,71691.031,122923.44399999999,304466.068,0.0,67.03333333333333,5507.3,185924.271,United Kingdom
129,2018-03-10,0.0,0.0,0.0,0.0,2018-03,0.0,36076.56,67546.92,123461.11400000002,307796.548,0.0,67.4,5559.733333333334,185586.16100000002,United Kingdom
130,2018-03-11,640.0,24.0,436.0,2621.0,2018-03,1763.77,36076.56,67546.92,123461.114,307796.548,0.0,64.33333333333333,5427.766666666666,188254.32100000003,United Kingdom
131,2018-03-12,1550.0,73.0,933.0,5966.0,2018-03,7081.801,31955.74,65510.6,121787.334,309560.31799999997,0.0,62.8,5396.133333333333,190491.771,United Kingdom
132,2018-03-13,1335.0,86.0,808.0,6804.0,2018-03,5005.5,29693.891,68300.20099999999,126784.69400000002,314705.859,0.0,65.23333333333333,5595.0,186419.88999999998,United Kingdom
133,2018-03-14,1226.0,52.0,749.0,7133.0,2018-03,4041.67,28519.461,67048.06099999999,123958.59400000003,316650.089,0.0,66.46666666666667,5617.833333333333,205601.15000000002,United Kingdom
134,2018-03-15,1401.0,91.0,790.0,8140.0,2018-03,5826.54,26574.531000000003,65561.511,125028.37400000001,319725.9089999999,0.0,66.66666666666667,5673.1,203779.85,United Kingdom
135,2018-03-16,1288.0,82.0,715.0,6393.0,2018-03,13837.490000000002,27049.761,64370.041,126949.88399999999,322775.42899999995,0.0,66.2,5651.966666666666,197953.31000000003,United Kingdom
136,2018-03-17,0.0,0.0,0.0,0.0,2018-03,0.0,37556.77100000001,73633.33099999999,132848.924,334719.24899999995,0.0,67.0,5666.266666666666,188880.95,United Kingdom
137,2018-03-18,1367.0,62.0,791.0,6689.0,2018-03,3901.4700000000003,37556.77100000001,73633.331,132848.924,334719.24899999995,0.0,64.2,5412.9,204095.27000000005,United Kingdom
138,2018-03-19,1462.0,99.0,866.0,7552.0,2018-03,6293.4,39694.471000000005,71650.211,133578.993,336651.15899999987,0.0,64.13333333333334,5452.733333333334,213763.90000000002,United Kingdom
139,2018-03-20,1265.0,76.0,736.0,6213.0,2018-03,52280.04000000001,38906.07,68599.961,136380.40300000002,330162.74899999995,0.0,67.43333333333334,5704.466666666666,211449.40000000002,United Kingdom
140,2018-03-21,1391.0,102.0,804.0,7029.0,2018-03,6807.48,86180.61000000002,114700.07100000003,184816.503,378907.659,0.0,68.03333333333333,5780.766666666666,175795.89,United Kingdom
141,2018-03-22,1692.0,100.0,885.0,8640.0,2018-03,18308.93,88946.42,115520.95100000002,186949.04200000002,378044.87899999996,0.0,68.8,5765.966666666666,174746.12,United Kingdom
142,2018-03-23,1186.0,74.0,784.0,5995.0,2018-03,4234.21,101428.81,128478.57100000003,200169.602,384379.369,0.0,69.63333333333334,5858.066666666667,156437.18999999997,United Kingdom
143,2018-03-24,0.0,0.0,0.0,0.0,2018-03,0.0,91825.53000000001,129382.30100000002,196929.22100000002,386914.309,0.0,68.33333333333333,5880.533333333334,156307.47999999998,United Kingdom
144,2018-03-25,1838.0,60.0,904.0,9368.0,2018-03,4761.23,91825.53000000001,129382.30100000002,196929.22100000002,386914.309,0.0,65.4,5572.7,164100.13999999998,United Kingdom
145,2018-03-26,1968.0,94.0,1028.0,9488.0,2018-03,8582.63,92685.29000000001,132379.761,197890.361,388237.22900000005,0.0,65.36666666666666,5730.733333333334,164760.71,United Kingdom
146,2018-03-27,1799.0,103.0,989.0,9317.0,2018-03,7089.400000000001,94974.52000000002,133880.59000000003,202180.79100000003,388140.029,0.0,68.5,6047.0,161564.89999999997,United Kingdom
147,2018-03-28,1890.0,85.0,954.0,8976.0,2018-03,7832.740000000001,49783.88,135964.49,203012.55100000004,388192.448,0.0,70.1,6180.3,108830.171,United Kingdom
148,2018-03-29,1525.0,105.0,883.0,7777.0,2018-03,6173.910000000001,50809.14,139755.56,205317.071,391295.64800000004,0.0,69.83333333333333,6267.033333333334,106921.77099999998,United Kingdom
149,2018-03-30,0.0,0.0,0.0,0.0,2018-03,0.0,38674.12,140102.93,204472.97100000002,394067.49799999996,0.0,69.03333333333333,6310.566666666667,100747.861,United Kingdom
150,2018-03-31,0.0,0.0,0.0,0.0,2018-03,0.0,34439.91,126265.44000000002,199898.77099999998,388860.158,0.0,66.66666666666667,6014.933333333333,103206.13100000001,United Kingdom
151,2018-04-01,0.0,0.0,0.0,0.0,2018-04,0.0,34439.91,126265.44,199898.771,388860.158,0.0,63.5,5659.633333333333,103206.13100000001,United Kingdom
152,2018-04-02,0.0,0.0,0.0,0.0,2018-04,0.0,29678.68,122363.97000000002,194014.181,384941.998,0.0,60.93333333333333,5481.766666666666,109764.721,United Kingdom
153,2018-04-03,1092.0,66.0,694.0,5547.0,2018-04,3815.8799999999997,21096.050000000003,116070.57,184670.53100000002,378189.28799999994,0.0,60.93333333333333,5481.766666666666,116594.35100000001,United Kingdom
154,2018-04-04,1273.0,63.0,806.0,6649.0,2018-04,4675.700000000001,17822.530000000002,67606.41,182306.481,369673.658,0.0,60.96666666666667,5421.766666666666,118764.59100000001,United Kingdom
155,2018-04-05,1963.0,92.0,1003.0,10736.0,2018-04,7155.570000000001,14665.490000000002,65474.630000000005,180995.581,368267.59800000006,0.0,59.733333333333334,5376.2,118154.29100000001,United Kingdom
156,2018-04-06,795.0,52.0,545.0,4327.0,2018-04,3124.4300000000003,15647.150000000001,54321.27,182799.84100000001,371842.2480000001,0.0,59.56666666666667,5525.433333333333,110998.721,United Kingdom
157,2018-04-07,0.0,0.0,0.0,0.0,2018-04,0.0,18771.58,53211.490000000005,182593.79100000003,351029.087,0.0,58.733333333333334,5403.1,112434.731,United Kingdom
158,2018-04-08,1030.0,41.0,625.0,5379.0,2018-04,2992.37,18771.58,53211.490000000005,182593.79100000003,351029.08700000006,0.0,56.233333333333334,5189.9,120226.721,United Kingdom
